aid,bvid,title,播放量,点赞数,投币数,属地,视频时长(秒),视频时长(分:秒),up主,up主ID,发布时间,视频分类,收藏数,分享数,评论数,弹幕数
114256666169007,BV1rnZJYVEwZ,减肥的别看！香迷糊的徐州把子肉，一口爆汁，满嘴流油才过瘾！,529215,20668,1874,北京,312,5:12,真吃货老白,124458240,2025-03-31 18:56:15,美食侦探,2426,1006,1084,792
114256682943429,BV1kEZJYyECh,做汉堡给保安叔叔做上门了,571655,41803,525,广西,114,1:54,美味羡宝王,31642139,2025-03-31 19:02:18,美食制作,3087,6448,1090,479
114262336867257,BV1ExZhYzECp,挑战！我和女儿吃一年级下册课本美食！这是一场实力的对决,5230451,5346,2355,湖南,328,5:28,-聚宝鹏-,489422426,2025-04-01 19:11:57,美食记录,34327,12,42,319
114267890128614,BV1XWfKYoE6X,火影策划回应，未来的福利和功能计划,670477,30870,529,山东,57,0:57,一只山鸡鱼,674198676,2025-04-02 18:36:05,美食记录,5093,7114,8241,12968
114238949428004,BV1ZfoXYaERH,建议严查这批网红零食（4）,10152560,116457,17149,山东,731,12:11,穿毛裤的小拉泽,478691043,2025-03-29 16:50:00,美食测评,166967,771,840,3980
114264601788647,BV1FFfwYZEM1,白切鸡：不是，哥们儿？,638533,35188,1239,广东,192,3:12,蚊子-学做美食,14800002,2025-04-02 11:00:00,美食制作,5703,902,1348,834
114255273856554,BV153ZEYaEDW,今天曼谷微微动巨型夜市里的稀奇美味小吃别担心,788523,32223,1470,泰国,154,2:34,小老虎的泰国行,95012810,2025-03-31 13:09:51,美食侦探,1983,1367,636,400
114256246740223,BV1ubZnYoEpG,有点恼火的，但是其实都是怪我自己...,669718,25240,334,浙江,192,3:12,谢谢侬陈森,3546583274621696,2025-03-31 17:14:02,美食侦探,1133,82,715,138
114256968225579,BV1BLZpY5E9n,老板崩了一锅毛毛虫，爆米花机爆野米。,920556,12393,300,广西,75,1:15,美食虎先生,1104832285,2025-03-31 20:12:25,美食侦探,470,67,379,324
114262420756951,BV13kZhYZEQb,今天的下酒菜是牛窝骨,584036,46384,1874,浙江,207,3:27,小牙一杯,1626552192,2025-04-01 19:25:03,美食记录,3243,1437,488,381
114244754347448,BV1KcZwYPECW,荤菜几块钱，素菜几毛钱，2025年最离谱火锅店，性价比直奔火星！,5061901,26810,1955,河南,488,8:08,下班威龙,1659154,2025-03-29 17:12:32,美食侦探,20719,4767,1134,1254
114254820741868,BV1VfZEYbEri,1688一条和牛牛舌你会买单吗？,1210086,13768,375,上海,32,0:32,和牛切配何师傅,3493293482576390,2025-03-31 11:07:56,美食记录,436,126,266,31
114249435187529,BV1g9ZqYyEXq,周末陪孩子们完成实践作业：拍陕西美食小视频,1872754,74196,9494,陕西,648,10:48,君在西安,1202350411,2025-03-30 12:19:59,美食侦探,5077,1850,1354,1934
114250609595372,BV159ZzYpEUk,苹果加猪扒？苹果能增添果香，还能软化猪扒，超级好吃！,526258,49458,2192,山东,130,2:10,刘师傅爱做饭,676181679,2025-03-30 17:17:02,美食记录,39148,6349,788,224
114222289651281,BV1fToxYpEdg,没有人比我更会炒方便面～,2626379,129190,1740,山东,67,1:07,曹哥做饭可以,36628139,2025-03-25 19:15:00,美食制作,22797,4966,1834,771
114216853839442,BV1wqoyY1EeT,包子手法,3109390,261985,24104,陕西,191,3:11,陕西高娜丽,3546746097502570,2025-03-24 18:10:35,美食制作,146727,17362,3102,2202
114248999048099,BV1eUZvYgEVv,这食谱行啊,1027331,75979,3176,黑龙江,184,3:04,姜叔贼萌,503887464,2025-03-30 10:28:19,美食测评,7799,10975,2621,963
114257135933162,BV1b9ZHYbEwV,在山东临沂的偏远小村庄吃：临沂炒鸡，一院子木柴，加上8口地锅，矮桌子小马扎氛围感拉满#临沂炒鸡#临沂美食#鲤鱼#地锅鸡,1711495,15297,1086,上海,459,7:39,达哥在上海,504799975,2025-03-31 21:13:34,美食记录,4642,978,1086,1279
114220830035713,BV1nposYWE5z,一定要学会的椒盐鸡翅！外酥里嫩，再也不用出去买了！鸡翅少油做法还特别健康！,1708456,216133,15104,北京,148,2:28,夏叔有好货,294675407,2025-03-28 10:00:00,美食制作,161841,19854,1646,634
114244553020193,BV1gRZcYMEKK,买光零食很忙四个字品牌的零食，要花多少钱才能成功拿下？,5178893,4059,927,广东,198,3:18,阿鱼酱本酱,57729150,2025-03-29 18:35:00,美食记录,16078,15,28,48
114262068430194,BV1keZtYiEJU,鹅鹅鹅，曲项用刀戈，拔毛加瓢水，点火盖上锅。,544952,26117,4064,四川,556,9:16,老王在中国,3537122973714533,2025-04-01 17:50:15,美食侦探,1897,515,682,1935
114245190557445,BV1XhZPYnERS,复刻汪曾祺笔下故乡的味道：酱瓜虾松·茶粥,737111,58991,9048,云南,294,4:54,鹿十月lulu,18459985,2025-03-29 18:24:58,美食制作,30685,2932,777,371
114260709477278,BV1JjZ4YFE26,该外边吃不着的大盒饭,507657,38392,612,黑龙江,177,2:57,明天谁做东,1983705001,2025-04-01 12:10:21,美食记录,1271,266,211,211
114238613881926,BV1C8o9Y3Evf,去看迪拜网红的私人动物园，他竟然要送我手机？！,2837176,160430,140851,北京,3185,53:05,食贫道,39627524,2025-03-28 18:00:00,美食侦探,40559,8377,2367,18914
114256431351877,BV1mmZJYRE1z,重庆面包，馅比包子多！,429382,25293,922,北京,393,6:33,杨草莓熊,1721304028,2025-04-01 11:30:00,美食侦探,4496,3998,616,344
